farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,sowing_month,harvest_month
FARM0001,North India,Wheat,35.95,5.99,17.79,75.62,77.03,7.27,No Irrigation,Organic,6.34,2024-01-08,2024-05-09,122,4408.07,SENS0001,2024-03-19,14.970941,82.997689,0.63,Mild,1,5
FARM0002,South USA,Soybean,19.74,7.24,30.18,89.91,61.13,5.67,Sprinkler,Inorganic,9.6,2024-02-04,2024-05-26,112,5389.98,SENS0002,2024-04-21,16.613022,70.869009,0.58,No Disease,2,5
FARM0003,South USA,Wheat,29.32,7.16,27.37,265.43,68.87,8.23,Drip,Mixed,15.26,2024-02-03,2024-06-26,144,2931.16,SENS0003,2024-02-28,19.503156,79.068206,0.8,Mild,2,6
FARM0004,Central USA,Maize,17.33,6.03,33.73,212.01,70.46,5.03,Sprinkler,Organic,25.8,2024-02-21,2024-07-04,134,4227.8,SENS0004,2024-05-14,31.071298,85.519998,0.44,No Disease,2,7
FARM0005,Central USA,Cotton,19.37,5.92,33.86,269.09,55.73,7.93,No Irrigation,Mixed,25.65,2024-02-05,2024-05-20,105,4979.96,SENS0005,2024-04-13,16.56854,81.69172,0.84,Severe,2,5
FARM0006,Central USA,Rice,44.91,5.78,24.87,238.95,83.06,4.92,Sprinkler,Mixed,24.0,2024-01-13,2024-05-06,114,4383.55,SENS0006,2024-03-12,23.227859,89.421568,0.82,No Disease,1,5
FARM0007,North India,Soybean,36.28,7.04,21.8,123.38,47.91,4.02,Manual,Mixed,39.29,2024-03-04,2024-07-27,145,4501.2,SENS0007,2024-07-11,25.224255,73.056785,0.76,No Disease,3,7
FARM0008,East Africa,Maize,27.1,5.72,22.26,296.33,80.34,5.44,Sprinkler,Mixed,47.61,2024-01-24,2024-05-24,121,5264.09,SENS0008,2024-04-30,23.317654,72.51521,0.7,Mild,1,5
FARM0009,Central USA,Soybean,40.54,6.35,19.24,184.82,76.5,5.21,Manual,Inorganic,49.78,2024-03-12,2024-07-08,118,5598.46,SENS0009,2024-05-08,13.025105,74.493947,0.5,Mild,3,7
FARM0010,East Africa,Rice,10.25,6.92,16.18,66.85,41.57,5.98,Sprinkler,Inorganic,35.1,2024-01-18,2024-04-25,98,4893.41,SENS0010,2024-03-31,24.405291,74.859945,0.58,Severe,1,4
FARM0011,South India,Wheat,13.39,6.36,23.47,166.76,76.45,8.04,Drip,Organic,23.12,2024-02-26,2024-07-20,145,2437.08,SENS0011,2024-04-15,14.755223,78.972271,0.55,Moderate,2,7
FARM0012,South USA,Rice,40.61,5.65,31.16,263.99,44.9,7.91,Drip,Organic,46.69,2024-01-06,2024-05-01,116,3942.56,SENS0012,2024-02-02,31.61626,88.048857,0.4,No Disease,1,5
FARM0013,South USA,Maize,42.43,7.07,20.7,224.15,76.53,8.7,No Irrigation,Organic,13.55,2024-01-02,2024-05-08,127,4942.95,SENS0013,2024-01-17,28.699389,71.143305,0.65,Mild,1,5
FARM0014,North India,Soybean,12.8,5.87,26.9,218.8,51.76,4.72,Sprinkler,Mixed,31.75,2024-03-03,2024-06-27,116,4629.49,SENS0014,2024-05-14,23.069568,88.694125,0.42,Moderate,3,6
FARM0015,South India,Maize,23.85,6.84,21.0,129.04,77.59,4.44,No Irrigation,Mixed,49.93,2024-01-03,2024-05-06,124,2852.62,SENS0015,2024-02-05,13.311414,76.980177,0.34,Mild,1,5
FARM0016,Central USA,Maize,15.52,7.17,29.07,202.92,89.36,7.92,Drip,Mixed,41.77,2024-02-22,2024-05-28,96,5755.72,SENS0016,2024-03-10,16.611648,87.794254,0.75,Mild,2,5
FARM0017,Central USA,Maize,31.17,6.94,19.07,208.56,53.2,6.93,Drip,Organic,33.54,2024-02-02,2024-05-02,90,3334.23,SENS0017,2024-02-18,25.927834,75.239105,0.74,Severe,2,5
