farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,sowing_month,harvest_month,price_per_kg_EUR,revenue_per_hectare_EUR,yield_per_day,water_efficiency,pesticide_efficiency,heat_stress,drought_stress,growing_conditions_score,sowing_season,country
FARM0001,North India,Wheat,35.95,5.99,17.79,75.62,77.03,7.27,No Irrigation,Organic,6.34,2024-01-08,2024-05-09,122,4408.07,SENS0001,2024-03-19,14.970941,82.997689,0.63,Mild,1,5,0.23162925759013286,1021.0379815053369,36.13172131147541,57.53158444270425,600.5544959128065,0,0,59.19722222222222,Winter,India
FARM0002,South USA,Soybean,19.74,7.24,30.18,89.91,61.13,5.67,Sprinkler,Inorganic,9.6,2024-02-04,2024-05-26,112,5389.98,SENS0002,2024-04-21,16.613022,70.869009,0.58,No Disease,2,5,0.4987852229601519,2688.4423760507593,48.12482142857142,59.289187108128914,508.488679245283,0,1,50.18333333333333,Winter,USA
FARM0003,South USA,Wheat,29.32,7.16,27.37,265.43,68.87,8.23,Drip,Mixed,15.26,2024-02-03,2024-06-26,144,2931.16,SENS0003,2024-02-28,19.503156,79.068206,0.8,Mild,2,6,0.23162925759013286,678.9424146778938,20.355277777777776,11.001613932364974,180.26814268142684,0,0,69.36388888888888,Winter,USA
FARM0004,Central USA,Maize,17.33,6.03,33.73,212.01,70.46,5.03,Sprinkler,Organic,25.8,2024-02-21,2024-07-04,134,4227.8,SENS0004,2024-05-14,31.071298,85.519998,0.44,No Disease,2,7,0.22661864363728726,958.0983015697232,31.550746268656717,19.84789446504859,157.7537313432836,1,1,40.96944444444445,Winter,USA
FARM0005,Central USA,Cotton,19.37,5.92,33.86,269.09,55.73,7.93,No Irrigation,Mixed,25.65,2024-02-05,2024-05-20,105,4979.96,SENS0005,2024-04-13,16.56854,81.69172,0.84,Severe,2,5,1.6810423698639896,8371.523760227874,47.42819047619048,18.438150246214228,186.86529080675425,1,1,49.94444444444444,Winter,USA
FARM0006,Central USA,Rice,44.91,5.78,24.87,238.95,83.06,4.92,Sprinkler,Mixed,24.0,2024-01-13,2024-05-06,114,4383.55,SENS0006,2024-03-12,23.227859,89.421568,0.82,No Disease,1,5,0.45,1972.5975,38.45219298245614,18.268597624505105,175.342,0,0,83.125,Winter,USA
FARM0007,North India,Soybean,36.28,7.04,21.8,123.38,47.91,4.02,Manual,Mixed,39.29,2024-03-04,2024-07-27,145,4501.2,SENS0007,2024-07-11,25.224255,73.056785,0.76,No Disease,3,7,0.4987852229601519,2245.1320455882355,31.042758620689654,36.18909792571153,111.72002978406552,0,0,72.15555555555557,Spring,India
FARM0008,East Africa,Maize,27.1,5.72,22.26,296.33,80.34,5.44,Sprinkler,Mixed,47.61,2024-01-24,2024-05-24,121,5264.09,SENS0008,2024-04-30,23.317654,72.51521,0.7,Mild,1,5,0.22661864363728726,1192.9409357846075,43.504876033057855,17.704537046379446,108.29232668175273,0,0,62.705555555555556,Winter,Kenya
FARM0009,Central USA,Soybean,40.54,6.35,19.24,184.82,76.5,5.21,Manual,Inorganic,49.78,2024-03-12,2024-07-08,118,5598.46,SENS0009,2024-05-08,13.025105,74.493947,0.5,Mild,3,7,0.4987852229601519,2792.429119333492,47.44457627118644,30.128403831665054,110.24931075226466,0,0,68.1222222222222,Spring,USA
FARM0010,East Africa,Rice,10.25,6.92,16.18,66.85,41.57,5.98,Sprinkler,Inorganic,35.1,2024-01-18,2024-04-25,98,4893.41,SENS0010,2024-03-31,24.405291,74.859945,0.58,Severe,1,4,0.45,2202.0345,49.932755102040815,72.12100221075903,135.55152354570637,0,1,41.14444444444444,Winter,Kenya
FARM0011,South India,Wheat,13.39,6.36,23.47,166.76,76.45,8.04,Drip,Organic,23.12,2024-02-26,2024-07-20,145,2437.08,SENS0011,2024-04-15,14.755223,78.972271,0.55,Moderate,2,7,0.23162925759013286,564.499031087761,16.80744827586207,14.527181688125895,101.03980099502486,0,1,65.03055555555557,Winter,India
FARM0012,South USA,Rice,40.61,5.65,31.16,263.99,44.9,7.91,Drip,Organic,46.69,2024-01-06,2024-05-01,116,3942.56,SENS0012,2024-02-02,31.61626,88.048857,0.4,No Disease,1,5,0.45,1774.152,33.98758620689655,14.8781463451451,82.67058083455652,0,0,52.99444444444445,Winter,USA
FARM0013,South USA,Maize,42.43,7.07,20.7,224.15,76.53,8.7,No Irrigation,Organic,13.55,2024-01-02,2024-05-08,127,4942.95,SENS0013,2024-01-17,28.699389,71.143305,0.65,Mild,1,5,0.22661864363728726,1120.164624566929,38.92086614173228,21.954030646235843,339.72164948453604,0,0,69.57222222222222,Winter,USA
FARM0014,North India,Soybean,12.8,5.87,26.9,218.8,51.76,4.72,Sprinkler,Mixed,31.75,2024-03-03,2024-06-27,116,4629.49,SENS0014,2024-05-14,23.069568,88.694125,0.42,Moderate,3,6,0.4987852229601519,2309.121201841793,39.909396551724136,21.062283894449497,141.35847328244273,0,1,52.361111111111114,Spring,India
FARM0015,South India,Maize,23.85,6.84,21.0,129.04,77.59,4.44,No Irrigation,Mixed,49.93,2024-01-03,2024-05-06,124,2852.62,SENS0015,2024-02-05,13.311414,76.980177,0.34,Mild,1,5,0.22661864363728726,646.4568752125983,23.005,21.93648108274377,56.01060278814058,0,0,56.083333333333336,Winter,India
FARM0016,Central USA,Maize,15.52,7.17,29.07,202.92,89.36,7.92,Drip,Mixed,41.77,2024-02-22,2024-05-28,96,5755.72,SENS0016,2024-03-10,16.611648,87.794254,0.75,Mild,2,5,0.22661864363728726,1304.353459556007,59.95541666666667,28.225382502942335,134.57376665887304,0,1,56.03055555555555,Winter,USA
FARM0017,Central USA,Maize,31.17,6.94,19.07,208.56,53.2,6.93,Drip,Organic,33.54,2024-02-02,2024-05-02,90,3334.23,SENS0017,2024-02-18,25.927834,75.239105,0.74,Severe,2,5,0.22661864363728726,755.5986801747523,37.047,15.910622256155754,96.53242617255357,0,0,63.65833333333332,Winter,USA
FARM0018,East Africa,Wheat,13.92,7.39,28.82,87.26,41.8,6.22,Sprinkler,Inorganic,10.74,2024-02-12,2024-07-08,147,5732.35,SENS0018,2024-02-22,32.473116,74.201531,0.45,No Disease,2,7,0.23162925759013286,1327.7799747467982,38.99557823129252,64.9484477679583,488.2751277683135,0,1,44.60000000000001,Winter,Kenya
FARM0019,Central USA,Soybean,40.94,6.31,27.41,88.64,86.49,9.19,Sprinkler,Inorganic,6.12,2024-03-11,2024-07-29,140,5723.26,SENS0019,2024-05-13,16.670143,85.74749,0.36,No Disease,3,7,0.4987852229601519,2854.677515158919,40.880428571428574,63.84716644355199,803.8286516853933,0,0,72.55277777777778,Spring,USA
FARM0020,South USA,Rice,16.99,7.34,21.99,255.13,83.57,5.34,Sprinkler,Inorganic,19.77,2024-01-25,2024-05-11,107,3404.58,SENS0020,2024-03-30,19.99196,89.622994,0.62,No Disease,1,5,0.45,1532.061,31.818504672897195,13.292390582907117,163.91815117958595,0,1,53.413888888888884,Winter,USA
FARM0021,North India,Maize,16.25,7.43,20.31,77.1,61.73,8.37,Manual,Inorganic,32.28,2024-03-04,2024-06-26,114,5598.02,SENS0021,2024-03-28,16.368063,84.175706,0.3,Mild,3,6,0.22661864363728726,1268.615699454407,49.10543859649123,71.67759282970552,168.2097355769231,0,1,39.30277777777778,Spring,India
FARM0022,Central USA,Cotton,12.45,6.83,21.6,128.48,82.4,8.32,Manual,Mixed,18.92,2024-02-11,2024-06-05,115,4788.83,SENS0022,2024-04-21,13.182195,78.408927,0.86,Mild,2,6,1.6810423698639896,8050.226132075769,41.641999999999996,36.98509422304603,240.40311244979918,0,1,64.41666666666667,Winter,USA
FARM0023,East Africa,Soybean,20.53,6.6,15.01,121.73,61.49,7.48,Manual,Inorganic,24.88,2024-03-07,2024-07-07,122,3892.74,SENS0023,2024-06-30,33.9958,84.719229,0.7,Moderate,3,7,0.4987852229601519,1941.6411888259015,31.907704918032785,31.717917379613784,150.41499227202473,0,0,52.26388888888889,Spring,Kenya
FARM0024,East Africa,Soybean,21.73,7.14,30.02,218.2,51.23,5.19,Drip,Organic,16.02,2024-02-20,2024-07-13,144,5073.96,SENS0024,2024-06-15,20.361025,82.595308,0.42,Severe,2,7,0.4987852229601519,2530.8162698908923,35.23583333333333,23.14762773722628,298.117508813161,0,0,49.355555555555554,Winter,Kenya
FARM0025,South USA,Cotton,18.54,6.81,15.11,237.74,78.5,4.64,No Irrigation,Organic,12.91,2024-03-17,2024-07-14,119,2200.87,SENS0025,2024-04-17,32.93675,72.427172,0.38,Severe,3,7,1.6810423698639896,3699.7557205625585,18.49470588235294,9.218689788053949,158.22214234363767,0,1,39.90833333333334,Spring,USA
FARM0026,East Africa,Soybean,30.84,7.4,32.83,203.16,75.96,7.03,No Irrigation,Organic,38.46,2024-02-15,2024-05-31,106,5007.11,SENS0026,2024-05-06,16.932784,85.553497,0.59,Mild,2,5,0.4987852229601519,2497.472477736006,47.23688679245283,24.525421238244512,126.89077546882918,1,0,47.30833333333333,Winter,Kenya
FARM0027,Central USA,Cotton,12.71,6.07,20.43,129.93,67.01,4.83,Sprinkler,Inorganic,36.23,2024-03-07,2024-06-09,94,3659.47,SENS0027,2024-04-18,23.565279,78.315485,0.42,Severe,3,6,1.6810423698639896,6151.724121246174,38.93053191489361,27.949820514778885,98.29358044587698,0,1,48.96944444444445,Spring,USA
