Product,Form,AverageRetailPrice,AverageRetailPriceUnitOfMeasure,PreparationYieldFactor,SizeOfACupEquivalent,CupEquivalentUnitOfMeasure,AveragePricePerCupEquivalent,Category
Acorn squash,Fresh,1.241438589,per pound,0.4586,0.4519,pounds,1.223533225,Vegetable
Artichoke,Fresh,2.506855868,per pound,0.375,0.3858,pounds,2.080460852,Vegetable
Artichoke,Canned,3.505101483,per pound,0.65,0.3858,pounds,2.579113206,Vegetable
Asparagus,Fresh,3.212453364,per pound,0.4938,0.3968,pounds,2.581435739,Vegetable
Asparagus,Canned,3.676296303,per pound,0.65,0.3968,pounds,2.244418891,Vegetable
Asparagus,Frozen,6.780904794,per pound,1.0335,0.3968,pounds,2.603589725,Vegetable
Avocados,Fresh,2.262402684,per pound,0.7408,0.3197,pounds,0.976334492,Vegetable
Beets,Canned,1.257920081,per pound,0.65,0.3748,pounds,0.725308679,Vegetable
Black beans,Canned,1.306312699,per pound,0.65,0.3858,pounds,0.775364834,Vegetable
Black beans,Dried,1.658510355,per pound,2.4692,0.3858,pounds,0.259142243,Vegetable
Blackeye peas,Canned,1.42085767,per pound,0.65,0.3748,pounds,0.819257451,Vegetable
Blackeye peas,Dried,2.125516477,per pound,2.5397,0.3858,pounds,0.322886618,Vegetable
Broccoli florets,Fresh,3.083131203,per pound,1.0,0.3417,pounds,1.053556824,Vegetable
Broccoli heads,Fresh,3.023555459,per pound,0.78,0.3417,pounds,1.324613857,Vegetable
Broccoli,Frozen,2.572513699,per pound,0.8818,0.3417,pounds,0.996849058,Vegetable
Brussels sprouts,Fresh,3.039541765,per pound,1.06,0.3417,pounds,0.979869427,Vegetable
Brussels sprouts,Frozen,2.885028256,per pound,0.96,0.3417,pounds,1.026939351,Vegetable
Butternut squash,Fresh,1.270953317,per pound,0.714,0.4519,pounds,0.804487884,Vegetable
"Cabbage, green",Fresh,0.826627116,per pound,0.7788,0.3307,pounds,0.351003021,Vegetable
"Cabbage, red",Fresh,1.260671568,per pound,0.7791,0.3307,pounds,0.535094606,Vegetable
"Cabbage, sauerkraut",Canned,1.630119528,per pound,0.65,0.3086,pounds,0.774048884,Vegetable
"Carrots, cooked whole",Fresh,1.00554135,per pound,0.8158,0.3197,pounds,0.394004108,Vegetable
"Carrots, raw whole",Fresh,1.00554135,per pound,0.89,0.2756,pounds,0.311353821,Vegetable
"Carrots, baby",Fresh,1.463044321,per pound,1.0,0.2756,pounds,0.403182576,Vegetable
Carrots,Canned,1.320606207,per pound,0.65,0.3197,pounds,0.649474702,Vegetable
Carrots,Frozen,2.037831594,per pound,0.98,0.3197,pounds,0.664728772,Vegetable
Cauliflower florets,Fresh,3.971328618,per pound,0.9702,0.2756,pounds,1.127980976,Vegetable
Cauliflower heads,Fresh,2.124437278,per pound,0.8926,0.2756,pounds,0.655876448,Vegetable
Cauliflower,Frozen,2.719124778,per pound,0.9304,0.2756,pounds,0.805427956,Vegetable
"Celery, trimmed bunches",Fresh,1.327844847,per pound,0.73,0.2646,pounds,0.48121591,Vegetable
Celery sticks,Fresh,2.650279098,per pound,1.0,0.2646,pounds,0.701143831,Vegetable
Collard greens,Fresh,2.483338628,per pound,1.16,0.2866,pounds,0.613558,Vegetable
Collard greens,Canned,1.416270591,per pound,0.65,0.3638,pounds,0.792594554,Vegetable
Collard greens,Frozen,2.723966393,per pound,0.8818,0.3638,pounds,1.123636137,Vegetable
