antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"water_eff_category=High_Water_Eff, irrigation_type=Sprinkler","ph_category=Neutral_Soil, moisture_category=Dry_Soil, sowing_season=Winter, yield_level=High_Yield",0.074,0.134,0.034,0.45945945945945954,3.428801936264623,1.0,0.024084,1.6021000000000003,0.7649599796722144,0.1954022988505747,0.375819237251108,0.3565954013715208
"rainfall_category=Low_Rain, ph_category=Neutral_Soil, ndvi_category=Medium_NDVI","water_eff_category=High_Water_Eff, sowing_season=Winter, yield_level=High_Yield",0.074,0.12,0.03,0.40540540540540543,3.3783783783783785,1.0,0.02112,1.4800000000000002,0.7602591792656588,0.18292682926829268,0.32432432432432434,0.32770270270270274
"water_eff_category=High_Water_Eff, moisture_category=Dry_Soil, irrigation_type=Sprinkler","ph_category=Neutral_Soil, sowing_season=Winter, yield_level=High_Yield",0.068,0.15,0.034,0.5,3.3333333333333335,1.0,0.0238,1.7,0.7510729613733906,0.1847826086956522,0.4117647058823529,0.36333333333333334
"rainfall_category=Low_Rain, sowing_season=Winter, ndvi_category=Medium_NDVI","ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, yield_level=High_Yield",0.066,0.148,0.03,0.45454545454545453,3.0712530712530715,1.0,0.020232,1.562,0.7220556745182014,0.16304347826086957,0.3597951344430218,0.3286240786240786
"water_eff_category=High_Water_Eff, irrigation_type=Sprinkler","ph_category=Neutral_Soil, sowing_season=Winter, yield_level=High_Yield",0.074,0.15,0.034,0.45945945945945954,3.0630630630630638,1.0,0.022900000000000004,1.5725000000000002,0.7273535764197687,0.17894736842105266,0.3640699523052465,0.3430630630630631
"rainfall_category=Low_Rain, temp_category=Moderate_Temp","ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, yield_level=High_Yield",0.086,0.148,0.038,0.4418604651162791,2.985543683218102,1.0,0.025272000000000003,1.5265,0.7276286997581483,0.19387755102040818,0.34490664919751063,0.3493086109365179
"rainfall_category=Low_Rain, temp_category=Moderate_Temp, moisture_category=Dry_Soil","ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, yield_level=High_Yield",0.078,0.148,0.034,0.4358974358974359,2.9452529452529452,1.0,0.022456000000000004,1.5103636363636364,0.7163455403853516,0.17708333333333337,0.337907788612014,0.33281358281358286
"rainfall_category=Low_Rain, ph_category=Neutral_Soil, sowing_season=Winter, ndvi_category=Medium_NDVI","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.054,0.19,0.03,0.5555555555555556,2.9239766081871346,1.0,0.01974,1.8225000000000002,0.6955602536997886,0.14018691588785046,0.4513031550068587,0.35672514619883045
"water_eff_category=High_Water_Eff, temp_category=Moderate_Temp, fertilizer_type=Inorganic","ph_category=Neutral_Soil, moisture_category=Dry_Soil, yield_level=High_Yield",0.056,0.22,0.036,0.6428571428571428,2.922077922077922,1.0,0.023679999999999996,2.1839999999999997,0.696798493408663,0.14999999999999997,0.5421245421245421,0.4032467532467532
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, irrigation_type=Sprinkler","moisture_category=Dry_Soil, sowing_season=Winter, yield_level=High_Yield",0.064,0.184,0.034,0.53125,2.8872282608695654,1.0,0.022224,1.7408000000000001,0.6983408748114631,0.15887850467289721,0.4255514705882353,0.3580163043478261
"water_eff_category=High_Water_Eff, sowing_season=Winter, irrigation_type=Sprinkler","ph_category=Neutral_Soil, moisture_category=Dry_Soil, yield_level=High_Yield",0.054,0.22,0.034,0.6296296296296297,2.861952861952862,1.0,0.02212,2.1060000000000003,0.6877254072876509,0.14166666666666666,0.5251661918328585,0.3920875420875421
"rainfall_category=Low_Rain, moisture_category=Dry_Soil, ndvi_category=Medium_NDVI","ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, yield_level=High_Yield",0.076,0.148,0.032,0.4210526315789474,2.8449502133712663,1.0,0.020752,1.4716363636363636,0.7018398268398268,0.16666666666666669,0.3204843093649618,0.3186344238975818
"water_eff_category=High_Water_Eff, temp_category=Moderate_Temp, fertilizer_type=Inorganic","ph_category=Neutral_Soil, yield_level=High_Yield",0.056,0.254,0.04,0.7142857142857143,2.81214848143982,1.0,0.025776,2.611,0.6826271186440678,0.14814814814814814,0.6170049789352738,0.43588301462317214
"rainfall_category=Low_Rain, ndvi_category=Medium_NDVI","ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, yield_level=High_Yield",0.092,0.148,0.038,0.41304347826086957,2.790834312573443,1.0,0.024384,1.4515555555555557,0.7067006723858104,0.18811881188118812,0.3110838946723822,0.33490011750881316
"rainfall_category=Low_Rain, ph_category=Neutral_Soil, temp_category=Moderate_Temp","water_eff_category=High_Water_Eff, moisture_category=Dry_Soil, yield_level=High_Yield",0.074,0.166,0.034,0.45945945945945954,2.7678280690328885,1.0,0.021716000000000003,1.5429000000000002,0.689747173167323,0.1650485436893204,0.35186985546697785,0.33213936828394663
